Date,Average_Price,Rainfall_Kurunegala,Rainfall_Puttalam,Rainfall_Colombo,Temp_Kurunegala,Temp_Puttalam,Temp_Colombo
07/01/2023,"82,452",56.4,50.1,58.2,0,0,0
14/01/2023,"79,037",56.4,50.1,58.2,0,0,0
21/01/2023,"84,117",56.4,50.1,58.2,0,0,0
28/01/2023,"80,812",56.4,50.1,58.2,0,0,0
07/02/2023,"75,397",98.8,43.1,72.7,0,0,0
14/02/2023,"73,481",98.8,43.1,72.7,0,0,0
21/02/2023,"80,737",98.8,43.1,72.7,0,0,0
28/02/2023,"85,014",98.8,43.1,72.7,0,0,0
07/03/2023,"82,151",56.4,50.1,58.2,0,0,0
14/03/2023,"82,261",56.4,50.1,58.2,0,0,0
21/03/2023,"83,219",56.4,50.1,58.2,0,0,0
28/03/2023,"78,226",98.8,43.1,72.7,0,0,0
07/04/2023,"73,368",98.8,43.1,72.7,0,0,0
14/04/2023,"72,796",98.8,43.1,72.7,0,0,0
21/04/2023,"69,687",98.8,43.1,72.7,0,0,0
28/04/2023,"69,687",98.8,43.1,72.7,0,0,0
07/01/2022,"64,657",8.9,43.8,76.2,0,0,0
        14/01/2022,"61,037",8.9,43.8,76.2,0,0,0
21/01/2022,"61,059",8.9,43.8,76.2,0,0,0
28/01/2022,"58,634",8.9,43.8,76.2,0,0,0
07/02/2022,"54,064",15,69.7,24.9,0,0,0
14/02/2022,"54,801",15,69.7,24.9,0,0,0
21/02/2022,"56,505",15,69.7,24.9,0,0,0
28/02/2022,"60,221",15,69.7,24.9,0,0,0
07/03/2022,"58,017",104,40.2,54.9,0,0,0
14/03/2022,"61,360",104,40.2,54.9,0,0,0
21/03/2022,"64,863",104,40.2,54.9,0,0,0
28/03/2022,"64,703",104,40.2,54.9,0,0,0
07/04/2022,"55,762",332.3,192.6,474.2,0,0,0
14/04/2022,"56,205",332.3,192.6,474.2,0,0,0
21/04/2022,"56,205",332.3,192.6,474.2,0,0,0
28/04/2022,"60,213",332.3,192.6,474.2,0,0,0
