Date,Average_Price,Rainfall_Kurunegala,Rainfall_Puttalam,Rainfall_Colombo,Min_Temp_Kurunegala,Min_Temp_Puttalam,Min_Temp_Colombo,Max_Temp_Kurunegala,Max_Temp_Puttalam,Max_Temp_Colombo
7/1/2023,82452.00,56.4,50.1,58.2,21.5,21.2,23.2,30.7,30.6,31
14/1/2023,79037.00,56.4,50.1,58.2,21.5,21.2,23.2,30.7,30.6,31
21/01/2023,84117.00,56.4,50.1,58.2,21.5,21.2,23.2,30.7,30.6,31
28/01/2023,80812.00,56.4,50.1,58.2,21.5,21.2,23.2,30.7,30.6,31
7/2/2023,75397.00,98.8,43.1,72.7,22.1,21.8,24.1,32.4,31.9,0
14/02/2023,73481.00,98.8,43.1,72.7,22.1,21.8,24.1,32.4,31.9,0
21/02/2023,80737.00,98.8,43.1,72.7,22.1,21.8,24.1,32.4,31.9,0
28/02/2023,85014.00,98.8,43.1,72.7,22.1,21.8,24.1,32.4,31.9,0
7/3/2023,82151.00,56.4,50.1,58.2,23.5,24.6,24.6,34.4,33.2,32
14/03/2023,82261.00,56.4,50.1,58.2,23.5,24.6,24.6,34.4,33.2,32
21/03/2023,83219.00,56.4,50.1,58.2,23.5,24.6,24.6,34.4,33.2,32
28/03/2023,78226.00,56.4,50.1,58.2,23.5,24.6,24.6,34.4,33.2,32
7/4/2023,73368.00,98.8,43.1,72.7,24.7,24.7,25.3,34.4,34,32.3
14/04/2023,72796.00,98.8,43.1,72.7,24.7,24.7,25.3,34.4,34,32.3
21/04/2023,69687.00,98.8,43.1,72.7,24.7,24.7,25.3,34.4,34,32.3
28/04/2023,69687.00,98.8,43.1,72.7,24.7,24.7,25.3,34.4,34,32.3
7/5/2023,64375.81,188.3,84.3,392.4,25.1,26.2,26.3,33.1,32.7,31.7
14/05/2023,64440.15,188.3,84.3,392.4,25.1,26.2,26.3,33.1,32.7,31.7
21/05/2023,66301.51,188.3,84.3,392.4,25.1,26.2,26.3,33.1,32.7,31.7
28/05/2023,69699.63,188.3,84.3,392.4,25.1,26.2,26.3,33.1,32.7,31.7
7/6/2023,66691.43,111.2,16.8,121.9,25.9,27.9,26.7,32.4,32.5,31.3
14/06/2023,66547.12,111.2,16.8,121.9,25.9,27.9,26.7,32.4,32.5,31.3
21/06/2023,62962.08,111.2,16.8,121.9,25.9,27.9,26.7,32.4,32.5,31.3
28/06/2023,61254.54,111.2,16.8,121.9,25.9,27.9,26.7,32.4,32.5,31.3
7/7/2023,59203.74,111.2,16.8,121.9,26.7,26.7,26.7,30.7,30.7,30.7
14/07/2023,62570.02,111.2,16.8,121.9,26.7,26.7,26.7,30.7,30.7,30.7
